Team Name,Captain,Institution,TDP,Poster,Robot Name,Robot Photo
Warthog Robotics @Home	,Rhayna Casado	                        ,Universidade de São Paulo	                ,TDPs/Team.pdf ,Posters/Team.pdf     ,Antares         ,Photos/robots/antares.png
BahiaRT	                ,Gabrielle Ferreira de Souza Carvalho	,Universidade do Estado da Bahia (UNEB)	    ,TDPs/Team.pdf ,Posters/Team.pdf     ,Bill Estranho   ,Photos/robots/Bill.jpg
FBOT@Home	            ,Pedro Edom Nunes	                    ,Universidade Federal do Rio Grande - FURG	,TDPs/Team.pdf ,Posters/Team.pdf     ,BORIS           ,Photos/robots/boris.png
RoboFEI@Home	        ,Gabriela Bassegio	                    ,Centro Universitario FEI	                ,TDPs/Team.pdf ,Posters/Team.pdf     ,HERA            ,Photos/robots/HERA.png
Ada Robotics	        ,Leonardo Contador Neves	            ,Garage	                                    ,TDPs/Team.pdf ,Posters/Team.pdf     ,Athena          ,Photos/robots/athena.png
MIMOSO@Home	            ,Murilo Castanheira Bicho	            ,No Institution/ Garage 	                ,TDPs/Team.pdf ,Posters/Team.pdf     ,MIMOSO          ,Photos/robots/MIMOSO.png
Pequi Mecânico	        ,José Rafael Rebêlo Teles	            ,UFG	                                    ,TDPs/Team.pdf ,Posters/Team.pdf     ,Miss Piggy      ,Photos/robots/miss_piggy.jpeg
UTBots	                ,Gustavo Fardo Armênio	                ,UTFPR	                                    ,TDPs/Team.pdf ,Posters/Team.pdf     ,HESTIA          ,Photos/robots/HESTIA.jpeg
Mecha Electra	        ,Felipe Trentin	                        ,UNESP Sorocaba	                            ,TDPs/Team.pdf ,Posters/Team.pdf     ,Mecha Electra   ,Photos/robots/Mecha_Electra.jpeg
UnipDroidians 	        ,Ramon Kainã Ferreira dos Santos 	    ,Universidade Paulista 	                    ,TDPs/Team.pdf ,Posters/Team.pdf     ,UD - H1         ,Photos/robots/UD-H1.jpeg
